Player_Names,Player_valuation,Age,Height,Position,Foot,Y_Contract_Left,Actual_Club,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Josip Stanišic,4000000,21,1.87,Right-Back,both,3.32876712328767,Bayern Munich,Bundesliga,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.07,0.07,0.05,0.12,0.0,0.87,0.35,40.0,0.0,0.0,10.2,0.0,0.0,0.0,0.07,0.07,0.09,-0.07,-0.07,65.38,75.61,86.5,1137.4,313.18,29.13,31.04,93.9,28.09,31.04,90.5,6.76,10.4,65.0,0.17,0.05,0.52,2.77,0.87,0.17,4.68,75.61,67.46,8.15,0.52,0.0,10.06,1.39,1.39,0.0,0.0,0.0,0.0,55.84,11.62,8.15,12.49,53.06,1.73,7.63,0.0,65.38,0.0,1.39,2.43,1.21,1.91,1.73,0.0,0.0,0.17,0.0,0.0,0.35,0.17,0.0,0.0,0.17,0.0,0.0,2.08,0.87,1.04,0.87,0.17,0.52,2.43,21.4,1.91,16.65,4.86,29.2,6.24,6.94,3.47,1.91,0.0,0.0,1.91,2.77,4.86,1.91,0.0,85.66,3.12,24.97,47.34,20.12,2.08,77.69,0.52,1.21,42.9,0.52,0.0,54.45,298.27,141.16,5.55,1.73,0.52,0.87,0.52,59.83,56.88,95.1,2.08,0.17,0.0,0.0,1.04,0.17,0.0,1.39,2.77,0.87,0.0,0.0,0.0,11.45,1.39,1.39,50.0
Joško Gvardiol,25000000,20,1.85,Centre-Back,left,4.32876712328767,RB Leipzig,Bundesliga,0.07,0.07,0.07,0.0,0.0,0.17,0.0,0.1,0.1,0.06,0.16,0.07,1.03,0.27,26.7,0.07,0.25,16.0,0.0,0.0,0.0,0.1,0.1,0.09,-0.03,-0.03,61.91,74.45,83.2,1167.78,496.16,24.7,27.2,90.8,29.11,32.49,89.6,7.18,11.92,60.2,0.07,0.06,0.51,6.12,0.79,0.03,5.23,74.45,69.81,4.65,1.81,0.21,9.29,1.2,0.34,0.0,0.0,0.0,0.0,55.28,7.65,11.51,45.65,21.29,2.8,2.67,0.31,61.91,0.27,1.3,1.98,2.19,1.2,0.96,0.07,0.0,0.07,0.03,0.07,0.14,0.14,0.0,0.0,0.0,0.0,0.0,2.19,1.4,1.09,0.96,0.14,0.68,1.47,46.5,0.79,12.33,4.78,38.8,5.47,5.81,1.06,2.02,0.41,0.0,1.61,3.21,5.4,2.73,0.07,86.04,7.31,34.54,47.56,10.28,1.61,81.87,0.82,1.3,63.2,0.85,0.07,59.04,297.54,163.7,5.77,2.02,0.21,0.58,0.89,60.21,58.77,97.6,0.75,0.17,0.0,0.0,1.74,1.47,0.03,0.34,3.21,1.4,0.0,0.07,0.03,11.14,2.63,1.85,58.8
Josuha Guilavogui,4000000,31,1.88,Defensive Midfield,right,0.326027397260274,FC Girondins Bordeaux,Ligue 1,0.05,0.05,0.05,0.0,0.0,0.48,0.05,0.05,0.05,0.01,0.06,0.05,0.58,0.14,25.0,0.08,0.33,14.3,0.0,0.0,0.0,0.05,0.05,0.08,0.0,0.0,40.55,48.49,83.6,768.68,210.98,15.2,17.61,86.3,18.71,21.69,86.3,5.48,7.5,73.1,0.05,0.01,0.34,2.16,0.14,0.0,3.03,48.49,47.43,1.06,0.82,0.0,6.59,0.91,0.0,0.0,0.0,0.0,0.0,36.13,6.01,6.35,5.82,37.95,2.65,0.05,0.34,40.55,0.0,0.53,1.35,0.43,1.25,1.01,0.0,0.05,0.1,0.0,0.1,0.1,0.05,0.0,0.0,0.05,0.0,0.0,2.93,1.92,1.64,1.11,0.19,0.77,1.92,40.0,1.15,16.31,5.44,33.3,6.73,8.23,1.35,1.59,0.67,0.0,0.91,3.17,6.11,3.8,0.0,60.9,5.48,23.76,33.48,6.16,0.77,59.94,0.29,0.34,85.7,0.29,0.05,32.52,119.87,58.44,1.59,0.87,0.05,0.53,0.96,34.97,32.85,93.9,0.63,0.48,0.05,0.05,2.12,0.53,0.1,0.0,3.17,1.92,0.0,0.0,0.0,13.52,3.03,1.01,75.0
Jota,5500000,22,1.75,Left Winger,both,0.326027397260274,Celtic FC,Premiership,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.2,0.2,0.25,0.45,0.29,2.76,1.31,47.4,0.11,0.22,19.3,0.0,0.0,0.0,0.2,0.2,0.07,0.09,0.09,28.06,37.22,75.4,460.76,104.83,16.14,19.05,84.7,8.72,11.34,76.9,2.62,4.8,54.5,0.29,0.25,1.31,0.87,1.45,0.44,2.91,37.22,35.04,2.18,0.44,0.29,6.83,0.73,3.49,0.58,0.0,0.0,0.0,26.32,4.94,5.96,8.29,26.17,0.87,1.02,0.29,28.06,0.15,0.29,1.6,1.74,2.76,2.04,0.0,0.0,0.58,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.15,0.58,0.29,0.15,1.45,10.0,1.31,12.36,3.05,24.7,2.04,5.96,4.36,0.15,0.0,0.0,0.15,0.73,1.74,0.0,0.0,48.42,0.87,5.23,18.61,29.08,4.36,46.67,2.18,3.78,57.7,2.18,0.15,39.4,260.26,166.48,7.85,2.62,1.6,2.33,1.02,48.56,38.24,78.7,5.23,0.0,0.0,0.0,0.87,2.18,0.0,3.49,0.73,0.0,0.0,0.0,0.0,5.53,0.73,1.16,38.5
Jozabed,700000,30,1.8,Central Midfield,right,1.32602739726027,Málaga CF,La Liga,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.05,0.05,0.08,0.12,0.0,0.86,0.23,27.3,0.0,0.0,20.2,0.0,0.0,0.0,0.05,0.05,0.06,-0.05,-0.05,47.61,56.18,84.7,977.84,246.7,17.61,19.95,88.3,20.26,22.52,90.0,9.12,12.23,74.5,0.0,0.08,0.7,5.69,0.47,0.08,3.74,56.18,54.86,1.32,1.09,0.08,8.42,2.65,0.55,0.08,0.0,0.0,0.0,38.57,7.95,9.66,5.45,47.92,2.34,0.16,0.08,47.61,0.31,1.01,1.09,1.09,1.71,1.48,0.0,0.0,0.0,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,1.32,0.47,0.78,0.31,0.62,2.65,23.5,2.03,23.38,5.3,22.7,7.71,12.39,3.27,1.4,0.16,0.0,1.25,0.62,2.18,0.62,0.0,63.58,1.48,13.09,42.16,11.06,1.17,62.34,0.39,0.55,71.4,0.39,0.0,46.75,185.92,80.96,3.43,0.7,0.16,0.47,0.86,49.48,45.74,92.4,2.03,0.08,0.0,0.0,1.01,1.17,0.16,0.55,0.62,1.32,0.0,0.0,0.0,11.06,0.31,1.25,20.0
Juan Bernat,12000000,29,1.7,Left-Back,left,3.32876712328767,Paris Saint-Germain,Ligue 1,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.03,0.03,0.06,0.09,0.0,0.13,0.13,100.0,0.0,0.0,12.8,0.0,0.0,0.0,0.03,0.03,0.19,-0.03,-0.03,61.04,66.56,91.7,858.51,218.11,37.1,39.48,94.0,20.68,22.44,92.2,1.88,2.63,71.4,0.0,0.06,0.5,3.64,0.5,0.13,2.76,66.56,60.04,6.52,1.13,0.13,7.27,0.5,1.88,0.0,0.0,0.0,0.0,53.65,9.65,3.26,55.28,3.89,1.75,5.39,0.13,61.04,0.13,0.25,1.38,0.5,0.63,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,1.75,0.88,1.25,0.63,1.25,2.13,58.8,0.88,10.78,3.38,31.4,3.89,4.14,2.76,1.63,0.0,0.0,1.63,0.75,3.51,1.75,0.0,75.46,3.51,21.43,35.72,22.31,2.38,69.19,1.0,1.63,61.5,1.0,0.13,53.52,197.55,111.69,4.39,0.88,0.25,0.88,0.75,59.79,55.78,93.3,3.64,0.13,0.0,0.0,0.38,0.75,0.13,1.88,0.75,1.75,0.0,0.0,0.0,5.52,0.38,0.75,33.3
Juan Brunetta,2500000,24,1.78,Attacking Midfield,right,0.326027397260274,Parma Calcio 1913,Serie A,0.19,0.38,0.19,0.0,0.0,0.57,0.0,0.25,0.25,0.13,0.38,0.19,1.89,0.95,50.0,0.1,0.2,18.2,0.19,0.0,0.0,0.25,0.25,0.13,-0.06,-0.06,28.8,35.81,80.4,583.77,105.92,10.04,11.56,86.9,13.83,16.11,85.9,4.36,6.63,65.7,0.38,0.13,1.33,2.65,0.38,0.0,2.08,35.81,30.69,5.12,1.33,0.0,6.44,3.22,1.89,2.27,0.19,1.52,0.57,27.28,2.08,6.44,3.41,30.51,1.33,0.19,0.19,28.8,0.0,0.57,1.52,1.14,2.84,0.95,0.95,0.19,0.38,0.38,0.0,0.38,0.0,0.38,0.0,0.0,0.0,0.0,0.57,0.19,0.19,0.38,0.0,0.0,1.14,0.0,1.14,12.88,3.41,26.5,1.14,6.25,5.49,0.76,0.0,0.0,0.76,0.19,0.76,0.38,0.0,49.83,0.19,4.55,29.18,19.52,3.22,45.28,3.22,4.55,70.8,3.41,0.19,38.65,240.63,117.09,6.06,1.89,0.38,3.41,1.71,50.21,35.62,70.9,7.58,0.57,0.0,0.0,2.08,3.03,0.19,1.89,0.19,0.19,0.0,0.0,0.0,5.68,0.38,1.89,16.7
Juan Cuadrado,10000000,33,1.76,Right-Back,right,0.326027397260274,Juventus FC,Serie A,0.16,0.22,0.14,0.03,0.03,0.38,0.0,0.08,0.06,0.24,0.29,0.16,0.96,0.36,37.1,0.14,0.38,19.9,0.11,0.03,0.03,0.08,0.06,0.06,0.09,0.08,57.95,70.23,82.5,1196.32,367.18,20.94,23.6,88.7,27.03,30.02,90.0,9.59,15.35,62.5,0.22,0.24,2.47,3.34,1.81,0.82,5.98,70.23,61.02,9.21,2.22,0.0,6.17,3.92,3.98,2.47,0.96,1.1,0.16,47.4,9.95,12.88,7.79,55.79,1.4,4.52,0.27,57.95,0.14,0.85,1.92,1.15,4.44,2.91,0.85,0.27,0.03,0.3,0.08,0.49,0.25,0.11,0.08,0.0,0.05,0.0,1.7,0.99,1.12,0.47,0.11,0.6,1.48,40.7,0.88,10.72,3.21,29.9,5.24,3.81,1.67,1.32,0.14,0.0,1.18,1.67,3.37,1.12,0.03,80.93,2.66,19.13,38.68,29.14,2.88,72.48,1.81,2.77,65.3,1.89,0.08,57.27,278.47,177.26,8.42,2.41,1.26,1.18,1.21,62.86,57.65,91.7,4.06,0.38,0.0,0.0,1.18,2.58,0.03,3.98,1.67,0.99,0.03,0.0,0.0,8.11,0.63,0.58,52.3
Juan Ferney Otero,3500000,26,1.82,Right Winger,right,3.32876712328767,CF América,Ligue 1,0.07,0.15,0.07,0.0,0.0,0.0,0.07,0.11,0.11,0.15,0.27,0.07,1.35,0.45,33.3,0.06,0.17,21.9,0.07,0.0,0.0,0.11,0.11,0.08,-0.04,-0.04,18.04,27.1,66.6,275.84,89.03,9.81,12.2,80.4,6.36,9.51,66.9,1.27,3.29,38.6,0.15,0.15,0.75,1.35,0.9,0.3,2.17,27.1,25.46,1.65,0.22,0.0,7.86,0.37,2.1,0.37,0.07,0.15,0.0,14.9,6.51,5.69,3.37,18.57,1.72,0.75,0.37,18.04,0.22,0.52,0.37,1.72,2.17,1.35,0.0,0.37,0.07,0.3,0.07,0.22,0.15,0.0,0.0,0.0,0.07,0.0,1.12,0.82,0.3,0.75,0.07,0.75,2.25,33.3,1.5,20.22,4.57,22.6,4.57,9.51,6.14,1.87,0.15,0.0,1.72,0.9,2.02,1.27,0.0,40.51,1.05,6.51,18.94,18.27,2.7,38.86,0.97,3.0,32.5,1.12,0.0,27.48,134.1,72.4,3.52,1.12,0.97,1.87,2.25,39.01,25.98,66.6,6.66,0.0,0.07,0.0,1.35,1.42,0.45,2.1,0.9,0.82,0.07,0.0,0.0,6.81,2.77,3.52,44.0
Juan Jesus,2500000,30,1.85,Centre-Back,left,0.326027397260274,SSC Napoli,Serie A,0.06,0.0,0.06,0.0,0.0,0.06,0.0,0.04,0.04,0.01,0.05,0.06,0.3,0.06,20.0,0.2,1.0,8.5,0.0,0.0,0.0,0.04,0.04,0.12,0.02,0.02,55.1,61.46,89.7,991.5,349.27,22.55,24.16,93.3,24.82,26.68,93.0,6.12,8.39,72.9,0.0,0.01,0.24,2.76,0.24,0.0,2.28,61.46,58.16,3.3,1.44,0.0,5.94,0.6,0.12,0.0,0.0,0.0,0.0,49.47,4.56,7.44,50.43,7.32,0.78,1.44,0.3,55.1,0.12,0.36,0.9,0.66,1.02,0.9,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,1.68,1.2,1.02,0.0,0.6,1.14,52.6,0.54,11.33,4.32,38.1,6.18,4.62,0.54,2.16,0.84,0.0,1.32,0.96,3.18,2.04,0.0,69.37,6.78,31.36,39.03,3.06,0.66,66.08,0.24,0.36,66.7,0.24,0.06,45.21,245.66,115.0,2.64,0.54,0.06,0.18,0.12,48.75,47.55,97.5,0.06,0.06,0.0,0.0,1.32,0.12,0.12,0.12,0.96,1.68,0.0,0.06,0.06,9.35,1.98,1.92,50.8
Juan Mata,3000000,33,1.7,Attacking Midfield,left,0.326027397260274,Manchester United,Premier League,0.18,0.35,0.0,0.18,0.18,0.0,0.0,0.19,0.05,0.14,0.21,0.18,0.71,0.53,75.0,0.0,0.0,20.6,0.0,0.18,0.18,0.19,0.05,0.08,-0.02,-0.05,43.67,51.98,84.0,674.2,146.23,25.99,28.11,92.5,12.91,15.38,83.9,3.89,6.01,64.7,0.35,0.14,1.41,3.18,0.71,0.18,3.36,51.98,49.16,2.83,1.06,0.18,8.49,1.24,1.24,1.24,0.0,1.24,0.0,42.79,3.01,6.19,43.32,7.6,0.35,0.0,0.53,43.67,0.18,0.18,2.12,0.88,3.18,2.12,0.71,0.0,0.35,0.0,0.0,0.88,0.53,0.18,0.0,0.18,0.0,0.0,0.35,0.35,0.18,0.18,0.0,0.0,0.88,0.0,0.88,11.49,2.48,21.5,2.83,4.24,4.42,0.35,0.0,0.0,0.35,0.35,0.71,0.53,0.0,58.53,0.88,6.54,29.71,25.82,3.01,55.7,0.53,0.71,75.0,0.53,0.0,41.38,224.91,103.08,6.9,2.48,0.71,1.24,1.95,59.06,48.62,82.3,6.37,0.0,0.0,0.0,0.18,1.06,0.35,1.24,0.35,0.35,0.0,0.0,0.0,4.95,0.18,0.53,25.0
Juan Miranda,6000000,22,1.85,Left-Back,left,2.32876712328767,Real Betis Balompié,La Liga,0.06,0.06,0.06,0.0,0.0,0.24,0.0,0.05,0.05,0.06,0.11,0.06,0.88,0.29,33.3,0.07,0.2,24.9,0.12,0.0,0.0,0.05,0.05,0.05,0.01,0.01,38.82,51.07,76.0,680.54,281.66,18.32,20.5,89.4,15.73,19.56,80.4,3.95,8.78,45.0,0.06,0.06,0.65,2.71,0.82,0.24,3.53,51.07,40.7,10.37,1.35,0.0,4.65,0.82,2.95,0.0,0.0,0.0,0.0,28.86,10.78,11.43,37.81,1.83,1.83,9.01,0.0,38.82,0.29,0.65,2.12,1.35,1.47,1.24,0.18,0.0,0.06,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,2.12,1.12,1.06,0.82,0.24,0.77,1.94,39.4,1.18,14.08,4.01,28.5,6.36,4.59,3.12,2.41,0.41,0.0,2.0,1.47,3.59,3.53,0.0,62.43,3.24,16.55,30.39,17.49,1.65,52.24,0.12,0.35,33.3,0.12,0.0,32.75,121.28,66.97,3.42,0.94,0.18,0.47,0.29,40.35,35.34,87.6,2.24,0.24,0.0,0.0,1.41,1.3,0.06,2.95,1.47,1.12,0.0,0.0,0.0,6.3,1.65,1.94,45.9
Juanfran,900000,33,1.8,Right-Back,right,0.326027397260274,Alanyaspor,La Liga,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.03,0.03,0.14,0.16,0.06,0.62,0.19,30.0,0.1,0.33,19.7,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.03,27.76,41.27,67.3,532.72,271.23,12.09,14.06,86.0,10.8,15.17,71.1,4.44,10.42,42.6,0.06,0.14,1.48,2.28,2.28,1.67,4.07,41.27,33.62,7.65,0.74,0.0,5.92,1.97,4.56,0.49,0.06,0.19,0.0,19.43,8.51,13.32,4.5,27.57,1.97,6.42,0.25,27.76,0.12,1.54,0.8,1.79,2.78,2.04,0.37,0.12,0.06,0.12,0.06,0.12,0.12,0.0,0.0,0.0,0.0,0.0,1.3,0.86,0.74,0.43,0.12,0.43,1.54,28.0,1.11,11.35,3.27,28.8,4.69,4.32,2.34,1.97,0.25,0.0,1.73,0.74,2.04,1.48,0.0,50.03,2.84,11.54,21.59,20.17,1.17,42.63,0.99,1.6,61.5,1.11,0.06,30.84,164.64,102.52,4.63,2.04,0.19,0.8,1.05,32.69,28.13,86.0,1.91,0.0,0.0,0.0,0.62,1.17,0.0,4.56,0.74,0.86,0.0,0.0,0.0,7.77,0.68,0.74,47.8
Juanmi,12000000,28,1.72,Right Winger,right,2.32876712328767,Real Betis Balompié,La Liga,0.74,0.05,0.74,0.0,0.0,0.25,0.0,0.49,0.49,0.05,0.55,0.74,2.27,1.28,56.5,0.33,0.58,12.8,0.0,0.0,0.0,0.49,0.49,0.22,0.25,0.25,16.75,20.8,80.5,261.41,54.48,9.19,10.82,84.9,4.99,5.83,85.6,1.53,2.17,70.5,0.05,0.05,0.69,0.79,0.35,0.05,1.33,20.8,19.81,0.99,0.05,0.0,4.64,0.59,0.2,0.0,0.0,0.0,0.0,14.08,3.95,2.77,2.52,15.56,1.04,0.69,0.4,16.75,0.0,0.3,1.19,0.69,1.98,1.28,0.0,0.2,0.1,0.25,0.15,0.2,0.1,0.0,0.05,0.0,0.05,0.0,1.68,0.89,0.25,0.84,0.59,0.74,2.12,34.9,1.38,19.86,5.53,27.9,3.56,9.04,7.26,0.94,0.05,0.0,0.89,0.64,2.32,0.25,0.05,31.71,0.79,4.3,13.98,15.02,4.74,30.72,1.14,1.93,59.0,1.19,0.2,21.49,101.16,46.04,2.52,0.69,0.44,1.83,1.48,35.37,20.7,58.5,4.64,0.25,0.0,0.0,2.07,0.79,0.94,0.2,0.64,0.89,0.05,0.0,0.0,5.33,0.99,2.07,32.3
Juanpe,1500000,30,1.9,Centre-Back,right,0.326027397260274,Girona FC,La Liga,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.03,0.03,0.01,0.05,0.0,0.72,0.23,31.8,0.0,0.0,12.4,0.0,0.0,0.0,0.03,0.03,0.05,-0.03,-0.03,40.85,49.28,82.9,925.34,352.45,9.37,10.34,90.6,23.52,25.73,91.4,7.74,12.62,61.3,0.0,0.01,0.1,2.21,0.2,0.0,2.57,49.28,46.77,2.5,2.02,0.03,8.07,1.69,0.16,0.0,0.0,0.0,0.0,33.73,4.81,10.73,12.52,32.01,2.86,0.49,0.1,40.85,0.1,1.01,0.33,0.55,0.42,0.29,0.03,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.85,0.81,0.42,0.1,0.65,1.14,57.1,0.49,7.84,2.7,34.4,4.33,3.09,0.42,1.56,0.55,0.0,1.01,1.07,2.41,5.63,0.07,59.88,7.25,35.32,26.51,2.11,1.01,57.51,0.46,0.52,87.5,0.49,0.03,36.27,193.79,118.69,1.66,0.16,0.0,0.2,0.2,38.64,37.67,97.5,0.65,0.26,0.0,0.0,1.33,0.39,0.07,0.16,1.07,0.85,0.0,0.03,0.0,9.47,2.73,1.11,71.2
Juanpi,500000,28,1.76,Attacking Midfield,left,,Al-Ain,Segunda División,0.27,0.27,0.13,0.13,0.13,0.27,0.0,0.21,0.11,0.07,0.17,0.27,1.88,0.27,14.3,0.07,0.5,21.3,0.4,0.13,0.13,0.21,0.11,0.06,0.05,0.03,22.84,31.16,73.3,379.48,108.0,12.49,14.78,84.5,6.72,8.87,75.8,2.96,6.31,46.8,0.27,0.07,1.07,2.28,0.81,0.13,2.55,31.16,28.21,2.96,2.01,0.0,5.91,1.07,0.67,0.81,0.13,0.13,0.27,20.28,4.43,6.45,25.39,4.3,0.67,0.13,0.0,22.84,0.0,0.81,1.07,0.94,2.96,1.34,0.54,0.13,0.27,0.67,0.0,0.67,0.13,0.27,0.0,0.0,0.27,0.0,2.15,1.48,1.07,0.94,0.13,0.54,1.61,33.3,1.07,26.19,5.64,21.5,8.19,13.43,4.57,2.69,0.0,0.0,2.69,0.27,2.42,1.07,0.0,47.01,1.21,7.79,26.46,17.06,1.88,44.33,1.21,2.55,47.4,1.21,0.0,35.06,198.94,104.64,5.1,1.61,0.4,2.42,2.69,40.7,29.82,73.3,4.57,0.27,0.0,0.0,2.42,2.15,0.27,0.67,0.27,1.48,0.13,0.0,0.0,6.99,0.81,1.48,35.3
Jude Bellingham,75000000,18,1.86,Central Midfield,right,3.32876712328767,Borussia Dortmund,Bundesliga,0.2,0.28,0.2,0.0,0.0,0.38,0.03,0.18,0.18,0.15,0.33,0.2,1.83,0.59,31.9,0.11,0.35,17.6,0.0,0.0,0.0,0.18,0.18,0.1,0.02,0.02,41.59,49.31,84.3,742.53,156.35,19.19,21.76,88.2,16.49,18.52,89.0,4.97,6.52,76.2,0.28,0.15,1.04,3.8,0.89,0.05,3.82,49.31,48.11,1.2,0.64,0.13,10.29,1.53,0.66,0.08,0.03,0.05,0.0,39.29,5.2,4.82,7.98,38.27,1.22,0.25,0.46,41.59,0.13,0.64,1.78,1.53,2.96,1.94,0.0,0.43,0.1,0.36,0.13,0.54,0.33,0.0,0.08,0.0,0.05,0.08,2.42,1.63,0.76,1.2,0.46,0.84,1.91,44.0,1.07,22.75,7.01,30.8,5.15,11.67,5.94,2.24,0.25,0.03,1.99,1.48,3.9,0.92,0.03,65.23,1.86,11.36,37.89,20.0,3.31,64.31,1.81,3.26,55.5,1.91,0.05,47.27,196.61,105.77,4.77,1.33,0.51,1.81,1.94,56.72,48.47,85.4,5.15,0.38,0.03,0.03,1.63,3.13,0.08,0.66,1.48,1.63,0.03,0.03,0.0,7.34,1.45,1.53,48.7
Jules Iloki,250000,30,1.72,Right Midfield,right,,Tianjin Jinmen Tiger,Ligue 1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.08,0.08,0.18,0.26,0.0,0.7,0.25,36.4,0.0,0.0,19.1,0.06,0.0,0.0,0.08,0.08,0.11,-0.08,-0.08,21.85,32.74,66.7,378.94,136.17,11.08,15.07,73.5,7.28,10.77,67.6,2.79,5.0,55.7,0.0,0.18,1.9,1.14,2.09,1.46,2.79,32.74,31.79,0.95,0.06,0.0,7.47,1.39,4.69,0.38,0.0,0.0,0.0,20.77,2.79,9.18,2.72,27.17,2.41,0.25,0.06,21.85,0.19,0.89,1.52,1.27,2.85,2.41,0.19,0.0,0.06,0.19,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.57,0.19,0.06,0.32,0.19,0.06,0.7,9.1,0.63,12.79,2.6,20.3,3.42,6.14,3.23,1.08,0.06,0.0,1.01,0.89,1.46,0.38,0.0,39.84,0.57,6.52,16.53,20.39,1.58,38.89,0.7,1.01,68.8,0.7,0.0,26.47,177.97,113.31,4.62,1.96,0.19,1.27,0.82,36.61,26.92,73.5,6.08,0.06,0.0,0.0,0.76,0.76,0.32,4.69,0.89,0.19,0.0,0.0,0.0,6.78,0.13,0.13,50.0
Jules Keita,500000,23,1.68,Left Winger,right,1.32602739726027,RC Lens,Ligue 1,0.39,0.2,0.39,0.0,0.0,0.59,0.0,0.39,0.39,0.12,0.51,0.39,3.16,0.99,31.3,0.13,0.4,16.1,0.0,0.0,0.0,0.39,0.39,0.13,0.0,0.0,21.12,27.04,78.1,352.89,109.93,11.25,14.61,77.0,8.09,9.47,85.4,1.78,2.57,69.2,0.2,0.12,1.58,1.78,1.58,0.2,4.14,27.04,25.86,1.18,0.39,0.39,6.91,1.18,0.99,0.2,0.0,0.0,0.0,22.7,3.55,0.79,3.36,22.5,0.39,0.59,0.2,21.12,0.2,0.39,1.18,0.59,3.95,2.17,0.2,1.18,0.2,0.2,0.0,0.39,0.2,0.0,0.2,0.0,0.0,0.0,1.78,0.79,0.0,0.39,1.38,0.79,2.57,30.8,1.78,16.18,3.95,24.4,2.37,6.32,7.5,0.59,0.0,0.0,0.59,0.2,1.97,0.0,0.0,45.39,0.59,3.55,14.61,32.37,8.29,44.41,5.13,8.68,59.1,5.33,0.2,42.83,206.84,130.86,8.29,2.17,2.57,3.75,3.95,46.18,34.14,73.9,10.26,0.59,0.0,0.0,2.96,1.58,0.79,0.99,0.2,0.79,0.0,0.0,0.0,6.32,0.0,0.79,0.0
